Advert,Videoname, Length ,Views,Days_Live,Views_per_day,FigOps_total,Segment1_FigUnits  ,Segment2_FigUnits    ,Segment3_FigUnits ,Segment4_FigUnits  ,Hyperbole,IronyDramatic,IronySituational,IronyVerbal,MetaphorCorrelational,MetaphorResemblance,Metonymy,Understatement,UnmarkedContrast,Images,Words,Music,Images_words,Images_music,Words_music
1,Old Spice - The man your man could smell like,32,52079913,2135,24393,5,18,21,17,12,11,0,141,0,0,0,45,0,76,11,197,0,65,0,0
2,TNT - Dramatic surprise,105,53765211,1345,39974,7,18,21,17,9,62,59,59,0,15,15,94,0,0,62,80,44,119,0,0
3,Air NZ - An Unexpected Briefing,267,12567985,1162,10816,4,18,18,18,33,0,0,92,0,0,92,92,0,0,0,0,0,190,85,0
4,LG - So Real it's Scary,110,24209113,1162,20834,2,6,6,6,6,5,93,0,0,0,0,0,0,0,0,5,0,93,0,0
5,Pepsi Max - Test Drive Prank,230,45309557,1011,44817,5,16,12,22,19,103,80,0,0,0,84,0,0,14,52,52,0,178,0,0
6,Evian - Baby and Me,74,115904727,980,118270,7,30,30,30,25,92,0,186,0,0,0,189,0,0,276,5,92,3,92,0
7,Android - Rock Paper Scissors,70,7424057,77,96416,3,18,18,18,3,0,0,76,0,0,76,76,0,10,153,10,0,0,76,0
8,Volvo Trucks - The Epic Split,76,81649279,766,106592,5,20,19,18,12,61,0,0,0,40,40,79,0,60,161,40,0,40,39,0
9,Always - LikeAGirl,198,60177931,554,108624,4,7,10,12,7,19,0,0,0,45,0,200,0,100,19,143,0,203,0,0
10,Old Spice - Watermelon,17,249930,980,255,5,2,12,20,9,41,0,33,16,0,16,17,0,77,39,129,0,33,0,0
11,TNT - LeBron,30,207878,67,3103,6,6,24,24,23,62,0,33,0,101,0,75,20,0,13,120,65,75,0,16
12,Air New Zealan - Where To Next,90,23346,128,182,4,18,18,18,30,0,0,0,0,89,0,184,0,0,89,0,89,95,0,0
13,LG Gamblerz,109,103509,432,240,3,5,6,6,5,57,0,0,0,0,0,5,0,34,67,0,0,0,29,0
14,Pepsi Max - Snoop Dogg,62,73371,980,75,4,12,16,21,10,19,0,66,9,59,141,10,10,46,144,85,0,65,66,0
15,Evian - Water Boy We Will Rock You,155,233301,1862,125,5,15,20,21,15,0,0,99,0,81,81,29,0,0,181,9,0,9,90,0
16,Volvo Trucks - Stunt Ballerina,202,127789,1070,119,2,0,10,18,9,65,0,0,0,0,0,0,0,65,65,0,0,65,0,0
17,Always - Infinity,30,146336,2350,62,5,23,20,24,22,50,0,0,0,7,44,0,36,0,63,23,0,52,0,0
19,KFC Colonel,60,5458071,198,27566,7,18,34,28,1,0,0,71,22,0,71,138,0,45,0,54,76,216,0,0
20,Skoda - Attention Test,75,5843635,280,20870,5,5,2,18,12,51,0,43,27,0,0,0,17,17,25,87,0,43,0,0
21,Dove - Real Beauty - Choices,220,7049764,240,29374,4,12,12,20,13,8,0,0,0,93,0,93,0,43,0,8,0,228,0,0
25,Skoda - Rapid,30,9228,1090,8,3,9,4,11,2,20,0,0,22,20,0,10,0,29,10,42,29,20,0,0
26,Dove - Real Beauty - Social Media,30,162892,298,547,5,12,18,30,9,0,0,0,0,76,0,93,0,116,33,143,33,76,0,0
27,Oreo - Play wityh Oreo Fruit Tart,19,81593,273,299,1,6,6,6,6,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0
28,Android - Finger People,60,17672,145,122,3,6,6,7,12,0,0,0,0,0,0,96,0,34,123,7,0,0,0,0
29,Doritos - Bold Outbreak,30,1728,33,52,5,16,25,28,9,109,0,74,0,0,0,144,0,0,69,40,0,162,56,0
30,Doritos - Ultrasound,30,10185949,102,99862,5,6,8,18,12,18,0,92,0,0,27,27,0,17,80,8,0,92,0,0
32,Oreo _ Discover 360,62,2929193,87,33669,4,13,12,12,13,0,0,0,0,100,200,6,0,0,200,0,0,6,100,0
33,Pepsi Maximum Football (Paintball),55,2092955,208,10062,7,8,8,10,12,0,0,0,0,16,0,194,0,16,73,59,80,7,0,7
34,Qatar Safety Video (Barcelona FC),232,11557083,183,63153,7,10,10,12,9,2,0,23,0,98,0,106,0,0,9,2,2,214,3,0
35,KFC _ What would you do _ 50 years,30,1015106,497,2042,8,8,9,6,3,48,0,16,9,0,0,48,16,3,29,93,0,19,0,0
